"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","shrunkenLog2FoldChange"
"NDUFAF3",8.49028934163139,-2.30687110925564,0.343861290393363,-6.70872579642995,1.96331194238251e-11,6.67128628842771e-10,-2.21520803079078
"ECI1",5.54691153576241,-2.81702462888551,0.420038529116513,-6.70658626200479,1.99230094694378e-11,6.75611387785825e-10,-2.61088950040867
"IDO1",73.568241124303,2.08847408494278,0.311765402806196,6.6988641656337,2.10045720766402e-11,7.10662228385679e-10,2.00538767789347
"STAT1",425.065713832401,1.43608263781454,0.21438520495735,6.69860888068389,2.10412919997428e-11,7.10662228385679e-10,1.39859311903072
"CTNNB1",31.9682980624272,-1.98051997447991,0.295753990207613,-6.69651142522078,2.13453768354013e-11,7.1948493084146e-10,-1.90729614037988
"ITPA",2.98549218220368,-3.14224466921158,0.469360843990593,-6.69473116354494,2.1606847907633e-11,7.26838775506068e-10,-2.99217792885117
"PDCD1LG2",6.32441958430294,3.22988883757847,0.482556158839353,6.69329108833057,2.18206469279158e-11,7.32562758663991e-10,3.32427189426086
"DNAJB1",30.6360243651882,-1.67241863703332,0.2501577767204,-6.68545531127968,2.30207765222396e-11,7.7131088762937e-10,-1.61541855553133
"TMEM205",3.55518991199393,-2.76807335512551,0.414071796309554,-6.68500820339894,2.30911708672215e-11,7.72128275253347e-10,-2.65877917350503
"CD82",11.0952426667886,-2.23970521067147,0.335150567974575,-6.68268361950492,2.34605717898023e-11,7.82920791378968e-10,-2.14990335503424
"RSPH9",10.234413997578,-2.11703691147969,0.317381768099983,-6.67031671086025,2.55251979488408e-11,8.5013089835167e-10,-2.02869303763404
"CCL2",7.90749936962295,3.55748535655425,0.533496852920895,6.66824056613833,2.58888187130338e-11,8.60534081023735e-10,3.36366187484595
"KRT15",15.9089608079266,-2.32149737180494,0.348197264859858,-6.66719014217213,2.60747192158076e-11,8.65000467898313e-10,-2.22441746424355
"TSPO",6.20977947043864,-2.78234349928533,0.417584134585845,-6.66295308859094,2.68379348028582e-11,8.88563261539995e-10,-2.67408038772619
"CFAP97D1",7.34460120899639,2.12852766709442,0.319896862651471,6.65379350535696,2.85633352414529e-11,9.43827057801238e-10,2.07278654943828
"IFI16",242.891155540863,1.41754735825664,0.213204232302116,6.64877682281623,2.95538718299821e-11,9.74639081607228e-10,1.37809325427938
"UQCRB",45.6508205526934,-1.52150815357643,0.228911348704413,-6.64671350803628,2.99709582067333e-11,9.86455891094558e-10,-1.4724303642962
"CCDC34",3.74310087134204,-2.45237136009029,0.369087255834552,-6.64442166810982,3.0440994486313e-11,9.9996581887916e-10,-2.34948540875744
"GATD3B",3.2561502926115,-3.28129884348152,0.494001786732805,-6.6422813269222,3.08864706258424e-11,1.01261776547928e-09,-3.14207682642316
"PPP2CB",43.7456555083719,-1.4375011821113,0.216512454339789,-6.63934639000173,3.15077164414376e-11,1.0309717898362e-09,-1.38759073478555
"PIH1D3",7.2299176509918,-2.30214921041948,0.347320831388032,-6.62830732386301,3.395579611638e-11,1.10891438445439e-09,-2.20204118165765
"HES6",1.84686695377202,-4.48019672985944,0.676820674907412,-6.61947380740448,3.60479705929931e-11,1.17495385315336e-09,-4.45789103477471
"PDLIM4",7.96194469566647,-2.40782428079715,0.364168240785165,-6.6118458754277,3.7955706914244e-11,1.23473739585756e-09,-2.31185607658396
"SCGB1A1",26.9818201496599,-2.57349618063666,0.389888700821018,-6.60059184894934,4.09519573450843e-11,1.32963163635316e-09,-2.46375313633677
"CCDC13",90.1107966253997,2.17081160505048,0.329090235996265,6.59640234684785,4.21254746893953e-11,1.365093085205e-09,2.08277928630815
"SERF2",48.7558835544835,-1.57086005984696,0.238155005247715,-6.59595652089292,4.22522748000556e-11,1.36656393987232e-09,-1.51608880215905
"PCBP1",66.5597993976844,-1.60817232362545,0.243868396524474,-6.59442693905629,4.2690157609889e-11,1.37807112623e-09,-1.54926267658289
"GDF15",8.90222346873171,-2.95961203173647,0.448831744634105,-6.5940345510748,4.28032026468245e-11,1.37906825264798e-09,-2.83192744591706
"FAM187A",3.97878733442042,-2.92461157520733,0.443873458693449,-6.58884084625377,4.43273635099368e-11,1.4254389346318e-09,-2.81541201554578
"UQCRC1",24.4186539753278,-1.9985476819704,0.303526345566661,-6.58442903280523,4.56636770882412e-11,1.46560321912661e-09,-1.91814678479196
"EIF3K",18.2251797760445,-1.75556521959582,0.266694121908312,-6.58269183825272,4.62006096855004e-11,1.48000655378017e-09,-1.69194695211864
"PPP4C",13.4618543437054,-2.13815598149247,0.324883014854011,-6.5813104524817,4.66319730322044e-11,1.49097961774968e-09,-2.0519251639372
"PYCR2",9.67902113165684,-2.14782996407313,0.326457352765331,-6.57920535677768,4.72969161229e-11,1.50936508372433e-09,-2.06205877126127
"CCDC173",17.7974196205113,-1.98883958179624,0.302374473754227,-6.57740568211054,4.78727329621627e-11,1.5248419269504e-09,-1.91097108270655
"TOMM20",34.7996333239885,-1.52183598188597,0.231397006093676,-6.57673151254985,4.80901986912224e-11,1.52886756672511e-09,-1.46990143144836
"CD9",18.1426168022978,-2.6389757114898,0.401612257495697,-6.57095410370554,4.99938691589929e-11,1.58638390870105e-09,-2.53252883782727
"VILL",13.2470632160876,-2.222429203759,0.338282014951505,-6.56975276701483,5.03988723767295e-11,1.59621787116185e-09,-2.13640050856061
"CDKN2AIP",16.0462028302387,-1.79248493761288,0.27309105708578,-6.5636896233107,5.2492406914747e-11,1.65939273535017e-09,-1.7268231977654
"TFF3",13.7225665936696,-3.05658723654946,0.465767691776816,-6.56247157223198,5.29231324175608e-11,1.66986409917514e-09,-2.91421689343631
"TMEM141",1.21061091805873,-4.14391756025177,0.632438746794675,-6.55228285941361,5.66640790376697e-11,1.7845463991113e-09,-4.24121862530902
"COX5A",16.6632469343962,-1.6827888816661,0.256939377359772,-6.54936156130643,5.77835784663866e-11,1.80650264676565e-09,-1.61934692965395
"DHRS3",15.6274039903291,-1.91289839621588,0.292065627609934,-6.54954987983262,5.77107633012554e-11,1.80650264676565e-09,-1.84046200371381
"POLR2J",3.96183748356768,-2.85800672617677,0.436338734735047,-6.54997252974162,5.7547668265174e-11,1.80650264676565e-09,-2.75003105667069
"TRAK1",78.3542509432074,-1.35084821400142,0.206257135878032,-6.5493405028189,5.77917265169281e-11,1.80650264676565e-09,-1.31033214932737
"CCDC170",107.123544738467,-1.5206687955695,0.232219539804587,-6.54841016759029,5.81528200066012e-11,1.81441122050336e-09,-1.4656667141643
"EIF3L",79.3757796285179,-1.45139017659732,0.221690584153239,-6.54691845457038,5.87364135875902e-11,1.8292197374421e-09,-1.40494296529802
"TMEM231",45.4596341229109,-1.85474387249226,0.283495114339687,-6.54241917647262,6.05315513696122e-11,1.88163448387095e-09,-1.78440961017671
"WDR54",13.5257732803721,-2.07616782869098,0.317390708291824,-6.54136297771531,6.09606722529099e-11,1.89147106180655e-09,-1.99218199464847
"CCN2",62.3138242549649,-1.8869466052138,0.288581234320451,-6.53870169228836,6.20551579710135e-11,1.92187801051925e-09,-1.81476645093
"SIVA1",6.5367747751017,-2.71684447353386,0.416567383470672,-6.52198079191465,6.93849025257465e-11,2.1449262869193e-09,-2.54342689363794
"YIPF2",2.40518533141042,-3.01878636885363,0.463293179687098,-6.51593095087755,7.22402025851796e-11,2.22908830991696e-09,-2.92598764549139
"RABL6",16.5918136436667,-1.85743018083869,0.285418951362784,-6.50773248226882,7.62936254147091e-11,2.34984366277304e-09,-1.77232176033861
"RPL28",139.833268461215,-1.67253134458245,0.257150830321442,-6.5040868913072,7.81667078311977e-11,2.40312519716939e-09,-1.6111679953501
"GON7",8.15590887645808,-2.2199622472317,0.341485096904001,-6.50090521477657,7.98381263958758e-11,2.45002338150123e-09,-2.12875864758033
"LRRC75A",8.31684997761561,-2.43736964621922,0.374961254060758,-6.50032401967664,8.01471959558783e-11,2.45054796232308e-09,-2.33352780034268
"PARP14",399.503405710319,1.6417014637465,0.252556122460397,6.50034316235566,8.01369976008675e-11,2.45054796232308e-09,1.59438433584053
"TRAPPC2L",5.08559582380211,-2.75539361894924,0.424222338770653,-6.49516389668222,8.29430632445315e-11,2.5314222902231e-09,-2.62634288817833
"GTPBP6",3.93241535657689,-2.87641201065435,0.442979783200064,-6.49332569959579,8.39618961676796e-11,2.55786640484695e-09,-2.73114643007247
"LRCH4",84.3089545576964,2.32196805219565,0.357866850550977,6.48835746764674,8.67771954877167e-11,2.63884420916089e-09,2.42703349509893
"SAP30",2.45323874031453,-2.62399586760841,0.404655242740048,-6.48452210785783,8.90134723020905e-11,2.70195324785333e-09,-2.48481754539823
"RPS10-NUDT3",7.27044037566183,-3.56791310021325,0.550323611763401,-6.48330005100198,8.97377799720865e-11,2.71902233684376e-09,-3.39490640738128
"TNFSF10",161.054895299946,1.47472294789304,0.22781578615387,6.47331325361708,9.58768922256639e-11,2.89980092414413e-09,1.4371113165739
"PHPT1",2.91916106413895,-3.1633690649615,0.488863502156383,-6.47086364804867,9.74443377953441e-11,2.94190765149757e-09,-3.03177228256937
"MRPL55",2.16673205936394,-3.26765832651022,0.505527145361061,-6.4638632296914,1.02063128112715e-10,3.07581987163381e-09,-3.15204139665387
"PRPF31",8.04757387055285,-2.10804477730352,0.326257700598247,-6.46128742229863,1.03815918223229e-10,3.12303584819916e-09,-2.02414920309084
"TMEM14C",6.29833991111191,-1.74955662746444,0.270948191279233,-6.45716296980697,1.06683994626906e-10,3.20357340573748e-09,-1.68187992328779
"PEBP1",33.8253214496317,-1.50996529450896,0.233881233764381,-6.45611992978515,1.07421491426899e-10,3.2199592055213e-09,-1.45535912568215
"ST14",21.9223022713952,-1.84712596735632,0.286221305872677,-6.45348871470104,1.09304145541297e-10,3.2705514920788e-09,-1.77403204427527
"SMIM26",6.15895866718083,-2.41265158041228,0.373870437078787,-6.45317559543724,1.0953032095182e-10,3.27148748664992e-09,-2.30486718675011
"DDOST",9.90631022036033,-1.88446020098202,0.292391065908217,-6.44499925169931,1.15600986984207e-10,3.44667525313836e-09,-1.81240472313731
"ECHS1",10.0228730443191,-2.16095061675312,0.335413241607205,-6.44265147791559,1.17404089278329e-10,3.49422879898231e-09,-2.0708280351282
"AKR1A1",25.5047719399897,-1.7222623355514,0.267862515025546,-6.42965043237627,1.2789772955444e-10,3.79980758991296e-09,-1.65788031737172
"NDUFB6",3.68152713701479,-2.9081533183135,0.452482429153076,-6.42710773047425,1.30054654986255e-10,3.85706261236622e-09,-2.75579659007509
"EFCAB1",56.8625047779754,-1.61221689616553,0.250919896056225,-6.42522542654118,1.31674237662067e-10,3.89820767794612e-09,-1.55109790068599
